Nombre,EjeMayor,PeriodoDias,Excentricidad
Kepler-298_d,0.355666,77.473633,
Kepler-269_b,0.0596916,5.326718,
Kepler-248_b,0.0668155,6.308205,
HD_181433_c,1.75604,962,0.28
70_Vir_b,0.483601,116.6884,0.4007
HD_102365_b,0.463328,122.1,0.34
BD_-08_2823_b,0.0558236,5.6,0.15
Kepler-160_b,0.0518266,4.309427,
CoRoT-11_b,0.0440549,2.99433,0
Kepler-369_c,0.118353,14.871572,
Kepler-142_d,0.235751,41.809118,
Kepler-398_b,0.0499821,4.081423,
Kepler-299_d,0.119323,15.054786,
GJ_436_b,0.0287188,2.64385,0.16
Kepler-142_c,0.0553921,4.761702,
Kepler-181_c,0.0517683,4.302149,
Kepler-364_b,0.170638,25.745718,
Kepler-173_c,0.0783205,8.005777,
Kepler-290_b,0.11685,14.589347,
WASP-37_b,0.0446312,3.577469,0
Kepler-223_c,0.0899174,9.848183,
HD_6718_b,3.55427,2496,0.1
Kepler-224_e,0.137602,18.643577,
Kepler-322_c,0.0520493,4.337234,
HD_33636_b,3.26519,2127.7,0.4805
Kepler-163_c,0.150603,21.347262,
HAT-P-40_b,0.060845,4.457243,0
HD_240237_b,1.91887,745.7,0.4
Kepler-169_f,0.38452,87.090195,
Kepler-283_b,0.0968462,11.008151,
rho_CrB_b,0.225692,39.8449,0.057
Kepler-214_b,0.122502,15.660544,
Kepler-314_b,0.0356743,2.461069,
Kepler-188_c,0.0645963,5.996553,
Kepler-233_b,0.0813349,8.472382,
Kepler-118_b,0.0751093,7.518496,
Kepler-110_b,0.106481,12.691112,
HD_11977_b,2.063,711,0.4
HD_73534_b,3.0184,1770,0.074
Kepler-195_b,0.0802786,8.307872,
Kepler-50_c,0.0932375,9.3761368,
HD_164604_b,1.30299,606.4,0.24
Kepler-359_b,0.169831,25.563222,
Kepler-359_d,0.354508,77.095691,
Kepler-115_b,0.0351175,2.403679,
OGLE-05-071L_b,3.54863,3600,
OGLE235-MOA53_b,,,
HD_37124_c,1.70993,885.5,0.125
HD_217107_c,5.33414,4270,0.517222
HD_74156_b,0.291535,51.638,0.63
Kepler-180_b,0.11269,13.817124,
HD_103774_b,0.070273,5.8881,0.09
Kepler-43_b,0.0449294,3.024095,0
Kepler-76_b,0.0271768,1.545,0
Kepler-310_b,0.113307,13.930698,
Kepler-222_c,0.0913762,10.08881,
KELT-6_b,0.0794132,7.8457,0.22
WASP-13_b,0.0537034,4.3530135,0
Kepler-84_c,0.107552,12.883,
HD_13931_b,5.14931,4218,0.02
Kepler-58_d,0.229287,40.101371,
HAT-P-18_b,0.0559503,5.508023,0.084
Kepler-357_b,0.0679912,6.475434,
Kepler-406_c,0.0555527,4.62332,0
HD_155358_c,1.00082,391.9,0.16
WASP-43_b,0.0142363,0.813475,0
Kepler-159_c,0.242421,43.595792,
Kepler-39_b,0.155007,21.0874,0.121
14_And_b,0.823151,185.84,0
Kepler-215_b,0.086925,9.360672,
Kepler-294_b,0.0468277,3.701212,
Kepler-29_b,0.0928723,10.3376,0
Kepler-24_b,0.0800144,8.14561,0
Kepler-306_b,0.0544926,4.646186,
Kepler-83_b,0.0778725,9.77,
81_Cet_b,2.28088,952.7,0.206
CoRoT-3_b,0.0573788,4.2568,0
Kepler-377_b,0.105463,12.509529,
Kepler-126_d,0.422434,100.283134,
HAT-P-38_b,0.0522992,4.640382,0.067
Kepler-18_d,0.117171,14.85888,0.000521567
Kepler-380_b,0.0487448,3.930821,
Kepler-132_d,0.134468,18.010199,
Kepler-228_b,0.0366865,2.566546,
mu_Ara_e,0.93961,310.54999,0.0666
Kepler-97_b,0.036125,2.58664,0
Kepler-139_b,0.123078,15.771044,
Kepler-375_b,0.103296,12.125934,
HD_136118_b,2.33328,1187.3,0.338
Kepler-182_b,0.0897811,9.825792,
HD_6434_b,0.142061,21.997999,0.17
